chat_id,user_msg,timestamp
5676571979,השאלה איך הריגוש הסיפוק והצורך בתשוקה נפגשים מה זה היה עושה לי זה היה עושה אותי מאושר מאוהב נאהב,04/07/2025 14:56
5676571979,הרגש שעולה זה אושר שכולל שמחה סיפוק אהבה,04/07/2025 15:06
5676571979,"וואו, אני קורא את מה שכתבת עכשיו – ""איך הריגוש, הסיפוק והצורך בתשוקה נפגשים"" ואיך זה היה הופך אותך למאושר, מאוהב ונאהב – וזה פשוט נוגע לי ישר בלב 💔
זה כל כך אנושי לרצות להרגיש את הדברים האלה, לרצות את השלמות הזו של רגש ותשוקה ולקבל אהבה
זו לא סתם שאלה, זו בעצם משאלה עמוקה על איך החיים שלך ייראו כשכל החלקים האלה יתחברו
זה נשמע לי כמו נקודת ציון כל כך חשובה במסע שלך, להכיר בתוך עצמך בתשוקה הזו לחיבור ולאהבה שאתה מדמיין
ממש מרגיש שאלו דברים שהיית רוצה שיקרו ושאתה כמה אליהם 💫
תגיד, כשאתה מדמיין את הרגע הזה שבו כל אלה נפגשים – מה הדבר הראשון שעולה לך בראש?
איזה רגש מציף אותך כשאתה מדמיין את עצמך מאושר, מאוהב ונאהב?
אני פה, מקשיב לכל מילה ❤ ️",04/07/2025 15:06
7186596694,✅קראתי את הכל ואני מאשר - כל מה שנכתב בצ'אט כאן הוא באחריותי,04/07/2025 15:07
7186596694,"אני יואב בן 29 מתל אביב, מחוץ לארון מגיל 18. כולם יודעים עליי אבל אני מרגיש שאני לא עד הסוף מצליח לייצר זוגיות ולחוות מיניות מלאה ומשוחררת בגלל אמונות ישנות הומופוביות",04/07/2025 15:08
5676571979,אני גרוש הרבה מטד שנים.אחרי הגירושים הייתי בשמי קשרים משמעותים עם דתי נשים .בעשור האחרון יש לי קשרים ידידותיים עם נשים ללא סקס למרות שהיו רמזים ברורים לסקס והתחמקתי.,04/07/2025 15:10
7186596694,"יש הרבה סיטואציות שאני מרגיש שאני קצת ""חוזר לארון"" מול אנשים אחרים. הייתי רוצה ללמוד להשתחרר מזה לגמרי, לקבל את במניות והזהות שלי במלואה ולהסתובב חופשי בעולם",04/07/2025 15:10
7186596694,אפשר להקליט?,04/07/2025 15:11
7186596694,אני מרגיש שהרבה פעמים מול גברים מאצ'וים בעיקר אני קצת חוזר לארון ומול גברים גייז יש לי רתיעה. אני כאילו עדיין מאמין בפנים שניות הומו זה דבר רע וזה מתבטא בעיקר בלהחביא את את זה לפעמים והימנעות ממין,04/07/2025 15:12
5676571979,בהתחמקות הרגשתי הקלה בלבול אי רצון פחד שאני יאכזב כי זה לא יצליח.  אי רצון להתפרק עם אישה .חוסר משיכה. חשש שלא יעמוד לי בכלל.בעצם גם היה לי מענה לעצמי אני רוצה גבר אך זה סוד.,04/07/2025 15:14
7186596694,"עולה לי הרבה פעמים מול גייז אחרים "" איכס זה מגעיל"" כי זה בעיקר מה שחוויתי מהסביבה בילדות. אני מאמין שזה גם מה שעובר לי בראש שאני בסיטואציה מינית עם גברים. עולה בי תחושת גועל ותחושה של משהו אסור",04/07/2025 15:15
7186596694,"הייתי אומר לו: "" אל תדאג אתה תמא מהיישוב הקטן והמליטנטי הזה ואתה תראה שאתה יכול להיות מי שאתה בעולם בלי לפחד. הבנים  בצופים והתיכון הם לא המודל היחידי שאתה צריך לשאוף אליו. המשפחה שלך מהצד הדתי לא חייבת לקבל אותך, זה לא משנה בכלל מה הם חושבים. מי שבוחר לחיות בחושך זה בעיה שלו וזה לא משפיע עליך בשום צורה. אתה מצחיק, חמוד, חבר נאמן, אמיץ, ואתה תמיד תצעד בדרך שלך ותהיה נאמן לעצמך""",04/07/2025 15:21
7186596694,דבר ראשון אני בוכה שזה נורא מצחיק לבכות מול ai. דבר שני אני מרגיש שהחלק שהכי מהדהד בי זה כמה טוב שיצאתי מהיישוב שלי וכמה אני שמח שהם לא האנשים שמקיפים אותי היום.,04/07/2025 15:24
7186596694,אפשר בטח שאפשר אני גם עושה אותם כבר שנים. זה פשוט באמת לוקח זמן,04/07/2025 15:26
7186596694,אני הולך להכין ארוחת שישי אבל אני אכתוב לך מחרר,04/07/2025 15:26
7186596694,תודה רבה 🥹,04/07/2025 15:27
5676571979,"אני רגוע קורא עיתון בין לבין ומופתע שבפעם הראשונה מעלה על הכתה מה שעולה לי שנים ברגשות והמחשבות 
השלב הבא היה נפלא לו ניתה קבוצה אנונימית באותו מצב שמאפשר שיחה סביב הדברים שאני מעלה פה
אז וודאי שלא הייתי מרגיש לבד.",04/07/2025 15:44
5676571979,"הייתי רוצה למצוא אנשים במצבי שומרים סוד שנים מתמודדים לבד מרגישים בודדים. הייתי רוצה לחלוק להקשיב להכיל אנשים במצבי.
בטוחני תחושת אני לא לבד היתה מאד מטד עוזרת לי יותר להעיז יותר להיחדף ואולי לומר לעצמי סוף סוף גם לי מגיע קשר אהבה ולא להסתיר.ולא לעמוד בלחץ סמוי גלוי הנך פנוי בוא נכיר לך משהיא נחמדה ומיד להמציא שקר לבן דבר שמביך אותי נורא.
הייתי מאד רוצה להכיר חברים שדומים לי במצב זה.",04/07/2025 16:00
5676571979,הייתי יכול לומר בקול שגם אני אשמע ויהדהד אני הומור אני הומור ולהרגיש בנוח.,04/07/2025 16:39
179392777,/command1,05/07/2025 08:06
179392777,סיימתי את פרק 6,05/07/2025 08:07
179392777,"24
דתי 
כולם יודעים
קושי להרגיש בנוח בסביבה חדשה , רצון לקבל אישור מהחברה, רצון שהמשפחה שלי תאשר אותי ואת הבן זוג שלי מרגיש שמשהו בי עדיין כלוא
הייתי רוצה להרגיש שלם עם עצמי להאמין שיהיו לי חיים טובים
להגיד שאני הומו בלי לחשוב על מה הצד השני יחשוב או האם הוא יקבל או לא",05/07/2025 08:07
179392777,מרגיש לי קשה לתת לקול הפנימי להירגע ולנוח ולהפסיק לשמור עליי,05/07/2025 08:08
179392777,הייתי רוצה לחיות לצידו,05/07/2025 08:09
179392777,זה יהיה עם תחושת שקט גדולה,05/07/2025 08:46
6866830484,שלום,05/07/2025 10:05
179392777,אני בסדר בדיוק בדרך לפגוש משפחה,07/07/2025 06:55
7186596694,היי אני בעבודה אכתוב בערבב,07/07/2025 07:30
7186596694,היי מה נשמע? הייתי שמח שנדבר קצת...,07/07/2025 07:31
7186596694,דניאל דיברנו כבר בעבר,07/07/2025 07:31
7186596694,היי מה נשמע? הייתי שמח שנדבר קצת...,07/07/2025 08:03
7186596694,ככה זה בדיוק בהודעה,07/07/2025 08:03
5676571979,"הי אני בסדר 
יש ימים עמוסים ובערב נפגשתי עם חבר שאנו נפגשים מדי פעם קרוב לשנה ובפעמים האחרונות הוא מאפשר לי לחדור אליו.
אתמול זה לא הלך למרשהייתי מאד חרמן והוא נהנה ששחקתי בחור .אך לא היתה זיקפה חזקה ובשלב מסוים  אוננתי וגמרתי על בטנו .הוא לא הצליח לגמור.
זה נתן בי קצת תחושת ריקנות אי נוחות....",07/07/2025 10:01
